customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Cuentas_Diarias
0082-oqiqy,0.0,male,0,0,0,29,1,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,electronic check,94.2,2607.6,3.14
0083-pivik,0.0,male,0,0,0,64,1,yes,dsl,yes,yes,yes,yes,yes,no,one year,0,electronic check,81.25,5567.55,2.71
0089-iiqko,0.0,female,0,1,1,39,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,credit card (automatic),99.95,3767.4,3.33
0093-exyql,0.0,female,1,0,0,40,1,no,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,91.55,3673.6,3.05
0093-xwzfy,1.0,male,0,0,0,40,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),104.5,4036.85,3.48
0094-oifmo,1.0,female,1,0,0,11,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,95.0,1120.3,3.17
0096-bxers,0.0,female,0,1,0,6,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,50.35,314.55,1.68
0096-fcpuf,0.0,male,0,0,0,30,1,yes,dsl,yes,no,no,no,no,yes,month-to-month,1,mailed check,64.5,1888.45,2.15
0098-bowso,0.0,male,0,0,0,27,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,19.4,529.8,0.65
0100-duvfc,0.0,male,1,1,0,70,1,yes,fiber optic,no,yes,yes,no,yes,yes,one year,1,electronic check,104.8,7308.95,3.49
0103-csitq,0.0,female,0,1,0,57,1,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),109.4,6252.7,3.65
0104-ppxdv,0.0,male,0,1,0,58,1,no,dsl,no,no,yes,no,no,no,one year,0,credit card (automatic),50.3,2878.55,1.68
0106-ghrqr,0.0,male,0,0,0,16,1,yes,dsl,no,yes,yes,no,no,yes,month-to-month,1,bank transfer (automatic),71.4,1212.1,2.38
0106-ugrdo,0.0,female,0,1,0,69,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,116.0,8182.85,3.87
0107-weslm,1.0,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,19.85,19.85,0.66
0107-yhina,1.0,male,0,0,1,1,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,99.75,99.75,3.32
0111-klbqg,0.0,male,1,1,1,32,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,mailed check,93.95,2861.45,3.13
0112-qawrz,0.0,male,0,1,1,16,1,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,1,bank transfer (automatic),90.8,1442.2,3.03
0112-qwpnc,1.0,male,0,1,0,49,1,yes,dsl,yes,no,yes,yes,yes,yes,one year,0,electronic check,84.35,4059.35,2.81
0114-igabw,0.0,female,0,1,0,71,0,no,dsl,no,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),58.25,4145.9,1.94
0114-pegzz,0.0,female,0,0,0,33,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,0,electronic check,107.55,3645.5,3.58
0114-rsrrw,0.0,female,0,1,0,10,1,no,no,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),19.95,187.75,0.66
0115-tfert,1.0,male,0,1,0,21,1,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,1,electronic check,111.2,2317.1,3.71
0117-lfrmw,1.0,male,0,1,1,37,0,no,dsl,yes,yes,yes,no,no,no,month-to-month,0,bank transfer (automatic),40.2,1448.8,1.34
0118-jpnoy,0.0,female,1,0,0,26,1,no,fiber optic,yes,no,no,no,yes,no,month-to-month,1,credit card (automatic),85.8,2193.65,2.86
0121-snyrk,0.0,male,0,0,0,50,0,no,dsl,yes,no,no,yes,no,no,one year,1,mailed check,35.4,1748.9,1.18
0122-oahpz,1.0,female,0,0,0,7,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,73.85,511.25,2.46
0123-crbrt,0.0,female,0,1,1,61,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,mailed check,88.1,5526.75,2.94
0125-lzqxk,1.0,male,0,0,0,15,1,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic check,101.35,1553.95,3.38
0128-mkwsg,0.0,female,0,0,1,26,0,no,dsl,yes,no,no,yes,no,yes,month-to-month,0,mailed check,45.8,1147.0,1.53
0129-kptwj,0.0,male,0,1,0,72,1,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,94.65,6747.35,3.16
0129-qmpdr,0.0,male,0,1,1,44,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),20.5,865.05,0.68
0130-sxoun,0.0,male,0,0,0,66,1,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,0,credit card (automatic),89.4,5976.9,2.98
0133-bmfzo,1.0,female,0,0,0,2,1,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,1,electronic check,86.25,181.65,2.88
0134-xwxce,0.0,female,1,0,0,44,1,no,dsl,no,no,yes,yes,yes,yes,one year,0,bank transfer (automatic),74.85,3268.05,2.49
0135-nmxap,1.0,female,0,0,0,12,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,1,bank transfer (automatic),89.75,1052.4,2.99
0136-ifmyd,0.0,male,1,1,0,69,1,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,1,electronic check,109.95,7634.25,3.66
0137-ocgab,1.0,female,0,0,0,1,1,yes,fiber optic,no,yes,no,no,no,no,month-to-month,1,mailed check,80.2,80.2,2.67
0137-udeuo,1.0,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.85,63.75,0.66
0139-ivfjg,0.0,female,0,1,0,2,1,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,0,electronic check,90.35,190.5,3.01
0141-yeays,0.0,female,1,0,0,27,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,bank transfer (automatic),86.45,2401.05,2.88
0142-gvysn,0.0,male,0,0,0,26,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,20.3,511.25,0.68
0147-eswwr,0.0,female,1,1,0,39,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,electronic check,101.25,3949.15,3.38
0148-dcdos,1.0,male,0,0,0,25,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,bank transfer (automatic),94.7,2362.1,3.16
0151-ontov,1.0,female,0,0,0,1,1,no,fiber optic,no,no,no,no,no,no,month-to-month,0,mailed check,70.9,70.9,2.36
0156-fvpta,1.0,male,0,1,0,22,1,no,dsl,yes,no,no,yes,no,no,month-to-month,1,electronic check,54.2,1152.7,1.81
0164-apgrb,0.0,female,0,0,0,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,114.9,8496.7,3.83
0164-xairp,0.0,female,0,0,0,24,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),19.55,470.2,0.65
0168-xzkbb,0.0,female,0,1,0,19,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,86.85,1564.4,2.9
0174-qrvvy,0.0,male,0,1,1,71,1,yes,no,no,no,no,no,no,no,two year,0,credit card (automatic),25.35,1847.55,0.85
0177-pxbat,0.0,male,1,1,0,33,1,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,1,bank transfer (automatic),109.9,3694.7,3.66
0178-ciikr,0.0,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.95,58.0,0.66
0178-szbho,0.0,male,0,1,1,47,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,0,electronic check,87.2,4017.45,2.91
0181-ritdd,0.0,male,0,1,1,62,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,0,mailed check,108.15,6825.65,3.6
0186-caerr,0.0,male,0,0,0,71,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),116.3,8309.55,3.88
0187-qsxoe,0.0,male,1,1,0,7,1,no,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,89.0,605.45,2.97
0187-wznab,0.0,female,0,1,1,27,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,mailed check,74.4,1972.35,2.48
0188-gwfle,0.0,male,0,0,0,2,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.05,33.7,0.67
0191-equuh,0.0,female,0,0,1,25,0,no,dsl,yes,no,no,yes,no,no,two year,0,bank transfer (automatic),35.05,844.45,1.17
0191-zhskz,0.0,male,1,0,0,30,1,no,dsl,yes,yes,no,no,yes,yes,month-to-month,1,electronic check,74.75,2111.3,2.49
0193-eszxp,1.0,female,1,1,0,58,1,no,fiber optic,yes,yes,no,yes,yes,yes,one year,1,credit card (automatic),105.5,6205.5,3.52
0195-iescp,1.0,male,0,1,0,10,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,85.25,855.3,2.84
0196-jtuqi,0.0,female,0,0,0,9,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,credit card (automatic),75.2,633.85,2.51
0196-vulgz,1.0,female,1,1,0,6,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,84.35,474.9,2.81
0197-pnknk,0.0,female,0,1,1,69,1,yes,fiber optic,yes,no,yes,no,no,no,one year,0,bank transfer (automatic),84.45,5848.6,2.82
0201-mibol,0.0,female,1,0,0,66,1,yes,fiber optic,yes,no,no,no,yes,yes,two year,1,bank transfer (automatic),102.4,6471.85,3.41
0201-oamxr,1.0,female,0,0,0,70,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,0,credit card (automatic),115.55,8127.6,3.85
0203-hhyij,1.0,male,0,0,0,25,1,yes,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),25.3,676.35,0.84
0206-oyvoc,0.0,female,0,1,1,46,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.25,864.2,0.64
0206-tbwlc,0.0,female,0,1,0,54,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,1,mailed check,114.65,6049.5,3.82
0207-mdknv,1.0,female,0,0,0,15,1,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,0,electronic check,105.1,1582.75,3.5
0208-bpqej,0.0,female,0,1,1,12,1,no,no,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),19.4,198.1,0.65
0212-isbbf,0.0,female,0,0,0,22,0,no,dsl,no,yes,no,no,yes,yes,month-to-month,1,electronic check,50.35,1098.85,1.68
0214-jhpfw,0.0,female,0,1,0,70,0,no,dsl,no,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),57.8,4039.3,1.93
0215-bqkgs,0.0,male,0,0,0,30,1,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,1,credit card (automatic),84.3,2438.6,2.81
0218-qnvas,0.0,male,0,1,1,71,1,yes,fiber optic,no,yes,no,no,yes,yes,one year,0,bank transfer (automatic),100.55,7113.75,3.35
0219-qaerp,0.0,male,0,1,0,30,1,no,no,no,no,no,no,no,no,one year,0,credit card (automatic),19.8,576.65,0.66
0219-ytzue,1.0,male,0,1,1,4,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,bank transfer (automatic),84.8,371.9,2.83
0220-ebgce,1.0,male,0,0,0,2,1,no,fiber optic,no,no,yes,no,no,yes,month-to-month,1,electronic check,85.85,167.3,2.86
0221-nauxk,0.0,male,0,0,1,10,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),19.95,219.5,0.66
0221-wmxnq,0.0,male,1,0,0,4,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,electronic check,75.35,273.4,2.51
0222-cnvpt,0.0,male,1,0,0,52,0,no,dsl,yes,no,no,no,yes,yes,month-to-month,1,credit card (automatic),48.8,2555.05,1.63
0224-hjapt,1.0,male,0,0,0,5,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,47.15,223.15,1.57
0224-nijlp,0.0,male,0,1,1,8,1,no,no,no,no,no,no,no,no,two year,0,mailed check,20.15,165.5,0.67
0224-rlwwd,0.0,female,1,0,0,2,1,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,44.3,89.3,1.48
0225-zorzp,0.0,male,0,0,0,3,1,no,fiber optic,no,yes,no,no,no,yes,month-to-month,0,electronic check,84.3,235.05,2.81
0228-mauwc,0.0,male,0,0,0,19,1,yes,dsl,no,no,yes,yes,no,no,month-to-month,0,electronic check,59.55,1144.6,1.98
0229-lfjaf,0.0,male,0,0,0,72,1,yes,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),69.65,4908.25,2.32
0230-ubypq,0.0,male,1,1,0,63,0,no,dsl,yes,no,no,yes,no,no,one year,0,bank transfer (automatic),36.1,2298.9,1.2
0230-wequw,0.0,male,0,1,0,66,0,no,dsl,yes,yes,yes,yes,yes,no,two year,1,bank transfer (automatic),56.6,3789.2,1.89
0231-lxvap,1.0,male,0,0,0,1,1,no,fiber optic,no,no,no,yes,no,no,month-to-month,1,electronic check,75.9,75.9,2.53
0233-fthav,0.0,female,0,0,0,60,1,yes,fiber optic,no,no,yes,no,no,no,one year,1,bank transfer (automatic),79.2,4765.0,2.64
0234-tevtt,0.0,female,0,1,1,48,0,no,dsl,yes,no,yes,no,no,yes,one year,0,credit card (automatic),45.0,2196.3,1.5
0235-kgslc,1.0,female,0,0,0,1,1,no,fiber optic,no,no,yes,no,yes,no,month-to-month,1,credit card (automatic),85.55,85.55,2.85
0236-hfwsv,1.0,male,0,0,0,15,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,93.35,1444.65,3.11
0237-yfutl,0.0,female,0,1,0,50,1,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,1,bank transfer (automatic),109.65,5405.8,3.66
0238-whbiq,0.0,male,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,credit card (automatic),89.7,6339.3,2.99
0239-oxexl,0.0,female,0,0,0,46,1,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,0,mailed check,84.25,3847.6,2.81
0244-lgnfy,0.0,female,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),92.65,6733.0,3.09
0247-sluji,0.0,male,0,1,1,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.7,19.7,0.66
0248-ipdfw,0.0,female,0,0,0,1,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,50.1,50.1,1.67
0248-pghbz,0.0,female,1,0,0,67,1,no,fiber optic,yes,yes,no,yes,yes,no,two year,1,bank transfer (automatic),92.45,6140.85,3.08
0253-zteob,0.0,female,0,1,1,48,1,yes,dsl,no,yes,no,yes,yes,yes,two year,0,electronic check,79.65,3870.3,2.66
0254-fnmci,0.0,female,0,0,0,72,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,109.9,7624.2,3.66
0254-kcjgt,0.0,male,0,1,0,52,1,yes,dsl,yes,yes,yes,yes,no,yes,one year,1,credit card (automatic),81.4,4354.45,2.71
0254-wwrkd,0.0,female,0,1,1,67,1,no,dsl,no,yes,no,no,no,no,one year,0,credit card (automatic),50.55,3431.75,1.68
0256-lthvj,1.0,female,0,1,1,28,1,no,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,81.05,2227.1,2.7
0257-kxzgu,0.0,female,0,1,1,32,1,yes,dsl,no,yes,yes,no,no,no,month-to-month,0,bank transfer (automatic),62.45,2045.55,2.08
0257-zesqc,1.0,female,1,1,0,27,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,1,bank transfer (automatic),75.2,1929.35,2.51
0258-nokbl,0.0,male,0,0,0,3,1,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,0,electronic check,90.4,268.45,3.01
0259-gbzsh,1.0,male,0,0,0,2,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,85.65,181.5,2.86
0260-zdlgk,1.0,female,0,0,1,9,1,no,dsl,no,no,yes,yes,yes,yes,month-to-month,1,mailed check,72.9,651.4,2.43
0263-fjtqo,0.0,male,0,1,1,50,1,yes,dsl,yes,no,no,yes,yes,no,two year,1,credit card (automatic),70.5,3486.65,2.35
0264-cnitk,0.0,female,0,1,1,71,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.1,1389.6,0.67
0265-edxbd,1.0,male,1,1,0,32,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,74.9,2303.35,2.5
0265-psuae,0.0,female,0,1,1,16,1,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,0,bank transfer (automatic),100.7,1522.7,3.36
0266-clzkz,0.0,female,0,1,1,67,1,yes,fiber optic,no,no,yes,yes,yes,yes,two year,1,bank transfer (automatic),105.65,6717.9,3.52
0266-gmeao,0.0,male,0,1,1,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),114.3,8058.55,3.81
0268-qkiwo,1.0,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,19.75,58.85,0.66
0269-xfesx,0.0,male,0,1,1,23,1,yes,no,no,no,no,no,no,no,one year,0,mailed check,24.35,538.5,0.81
0270-thenm,0.0,male,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),69.85,5102.35,2.33
0274-jkujr,0.0,male,0,1,1,7,0,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,0,mailed check,58.85,465.7,1.96
0277-bksqp,0.0,male,0,1,1,8,1,no,dsl,no,no,no,no,yes,no,month-to-month,1,electronic check,54.4,475.1,1.81
0277-orxqs,0.0,male,0,1,1,66,0,no,dsl,no,no,no,yes,yes,yes,two year,0,bank transfer (automatic),50.55,3364.55,1.68
0278-yxoog,1.0,male,0,0,0,5,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,21.05,113.85,0.7
0280-xjgex,1.0,male,0,0,0,49,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),103.7,5036.3,3.46
0281-cntzx,0.0,male,0,1,0,63,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),19.95,1234.8,0.66
0282-nvsjs,0.0,female,1,1,1,12,0,no,dsl,no,no,no,yes,no,no,month-to-month,1,mailed check,29.3,355.9,0.98
0285-inhln,0.0,male,0,1,1,27,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,credit card (automatic),54.75,1510.3,1.82
0289-ivarm,0.0,female,0,0,0,35,1,no,dsl,yes,yes,yes,no,no,no,month-to-month,0,electronic check,60.55,1982.6,2.02
0292-wegch,0.0,female,0,1,1,54,1,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,1,electronic check,86.2,4524.05,2.87
0295-pphdo,1.0,male,0,0,0,1,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,95.45,95.45,3.18
0295-qvkpb,0.0,male,0,0,0,5,1,no,dsl,no,no,yes,yes,yes,no,month-to-month,1,credit card (automatic),63.95,318.1,2.13
0297-rbcsg,0.0,male,0,0,0,19,1,no,dsl,no,yes,no,yes,no,yes,one year,1,bank transfer (automatic),65.35,1231.85,2.18
0298-xacet,0.0,male,0,1,1,52,0,no,dsl,no,yes,yes,yes,yes,no,two year,0,mailed check,50.2,2554.0,1.67
0301-fidrb,0.0,female,0,1,1,72,0,no,dsl,yes,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),63.8,4684.3,2.13
0301-kobtq,0.0,male,0,0,0,32,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),20.05,614.45,0.67
0302-joivn,1.0,female,0,1,0,8,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,0,electronic check,101.15,842.9,3.37
0303-uncip,0.0,male,0,0,0,41,1,yes,dsl,no,no,yes,no,no,yes,one year,0,mailed check,65.0,2531.8,2.17
0303-wmmrn,0.0,male,0,0,0,5,1,no,no,no,no,no,no,no,no,month-to-month,1,mailed check,19.25,86.05,0.64
